2026-06-14 23:54:16,131 INFO    chesstracker.timing — >>> POST /api/auth/login [127.0.0.1:123] — started
2026-06-14 23:54:16,132 DEBUG   chesstracker.deps — DB session created in 0.000s
2026-06-14 23:54:16,132 DEBUG   aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>)
2026-06-14 23:54:16,132 DEBUG   aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>) completed
2026-06-14 23:54:16,132 DEBUG   aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7056304dddc0>, 'SELECT 1', [])
2026-06-14 23:54:16,132 DEBUG   aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7056304dddc0>, 'SELECT 1', []) completed
2026-06-14 23:54:16,133 DEBUG   aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7056304dddc0>)
2026-06-14 23:54:16,133 DEBUG   aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7056304dddc0>) completed
2026-06-14 23:54:16,133 DEBUG   aiosqlite — executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7056304dddc0>)
2026-06-14 23:54:16,133 DEBUG   aiosqlite — operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7056304dddc0>) completed
2026-06-14 23:54:16,133 DEBUG   aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>)
2026-06-14 23:54:16,133 DEBUG   aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>) completed
2026-06-14 23:54:16,133 DEBUG   aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7056304de040>, 'SELECT users.id, users.username, users.hashed_password, users.role, users.created_at \nFROM users \nWHERE users.username = ?', ('admin',))
2026-06-14 23:54:16,133 DEBUG   aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7056304de040>, 'SELECT users.id, users.username, users.hashed_password, users.role, users.created_at \nFROM users \nWHERE users.username = ?', ('admin',)) completed
2026-06-14 23:54:16,133 DEBUG   aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7056304de040>)
2026-06-14 23:54:16,133 DEBUG   aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7056304de040>) completed
2026-06-14 23:54:16,134 DEBUG   aiosqlite — executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7056304de040>)
2026-06-14 23:54:16,134 DEBUG   aiosqlite — operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7056304de040>) completed
2026-06-14 23:54:16,134 DEBUG   aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>)
2026-06-14 23:54:16,134 DEBUG   aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>) completed
2026-06-14 23:54:16,134 DEBUG   aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x705630375fc0>, 'SELECT favorites.user_id AS favorites_user_id, favorites.id AS favorites_id, favorites.player_id AS favorites_player_id, favorites.created_at AS favorites_created_at \nFROM favorites \nWHERE favorites.user_id IN (?)', (1,))
2026-06-14 23:54:16,134 DEBUG   aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x705630375fc0>, 'SELECT favorites.user_id AS favorites_user_id, favorites.id AS favorites_id, favorites.player_id AS favorites_player_id, favorites.created_at AS favorites_created_at \nFROM favorites \nWHERE favorites.user_id IN (?)', (1,)) completed
2026-06-14 23:54:16,134 DEBUG   aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x705630375fc0>)
2026-06-14 23:54:16,134 DEBUG   aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x705630375fc0>) completed
2026-06-14 23:54:16,134 DEBUG   aiosqlite — executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x705630375fc0>)
2026-06-14 23:54:16,134 DEBUG   aiosqlite — operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x705630375fc0>) completed
2026-06-14 23:54:16,135 DEBUG   aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>)
2026-06-14 23:54:16,135 DEBUG   aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>) completed
2026-06-14 23:54:16,135 DEBUG   aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x705630376ac0>, 'SELECT activity_logs.user_id AS activity_logs_user_id, activity_logs.id AS activity_logs_id, activity_logs.action AS activity_logs_action, activity_logs.entity_type AS activity_logs_entity_type, activity_logs.entity_id AS activity_logs_entity_id, activity_logs.old_values AS activity_logs_old_values, activity_logs.new_values AS activity_logs_new_values, activity_logs.timestamp AS activity_logs_timestamp \nFROM activity_logs \nWHERE activity_logs.user_id IN (?)', (1,))
2026-06-14 23:54:16,135 DEBUG   aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x705630376ac0>, 'SELECT activity_logs.user_id AS activity_logs_user_id, activity_logs.id AS activity_logs_id, activity_logs.action AS activity_logs_action, activity_logs.entity_type AS activity_logs_entity_type, activity_logs.entity_id AS activity_logs_entity_id, activity_logs.old_values AS activity_logs_old_values, activity_logs.new_values AS activity_logs_new_values, activity_logs.timestamp AS activity_logs_timestamp \nFROM activity_logs \nWHERE activity_logs.user_id IN (?)', (1,)) completed
2026-06-14 23:54:16,135 DEBUG   aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x705630376ac0>)
2026-06-14 23:54:16,135 DEBUG   aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x705630376ac0>) completed
2026-06-14 23:54:16,135 DEBUG   aiosqlite — executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x705630376ac0>)
2026-06-14 23:54:16,135 DEBUG   aiosqlite — operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x705630376ac0>) completed
2026-06-14 23:54:16,307 DEBUG   aiosqlite — executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x7056323e7e20>)
2026-06-14 23:54:16,307 DEBUG   aiosqlite — operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x7056323e7e20>) completed
2026-06-14 23:54:16,307 DEBUG   aiosqlite — executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7056323e7e20>)
